	50	40	30	20	10
					
0	'79480992946584117354340645152047	'15319051697934450498279978360243	'52346761794439674180558684648587	'73053748314591170263857191498418	'33363930318964266313203157176352
1	'44934024186636907976401753341235	'74954297156734166632384289656934	'94071335582343792144990894823707	'02886451771778009846450112111626	'23054195484931196311195221404592
2	'58528324150159151586200870986367	'51682514698181369028039668417405	'71682339108160809700734260020314	'64199935045060380464414957253739	'43469005802714592606513199211807
3	'68699508866550602234765287697101	'34811653393590362587754046245092	'84364132108030378951005997844895	'40062737377361172292632128551497	'29221336967432501892789276301010
4	'26484768952060276689235692501504	'88088453645105590980364297384808	'01726693878272930641235640741139	'03484258432669681919112570963397	'58726389247625845653099816794648
5	'01511616841422503703803296494524	'96927080816631106510317460191998	'87985193942309817901376633647558	'24775775350116996768948360915374	
6	'06820321606992529101124284550862	'09156478461236087762426273197926	'62736133604468258984402629806824	'27951198957557386336024244608628	
7	'01787924595130051049320314864642	'20651966022029263687286553347581	'66390872482403259378248317984485	'64440721449997836184619194946474	
8	'02455854151134543755401072096962	'58730794530316519632150209225438	'59528623375004445442779849845009	'93769596157079725936971013503174	
9	'65177980669379738943738339684705	'82858050539928660753786412923929	'05630552997271536996014990467916	'11722683037262069797281653996702	
10	'78328847551923895209186909732833	'43830787834921842488123721021017	'77148867839088883937867833390960		
11	'36582670695960205090841557658968	'07404689979934802432484354233967	'89606184490241626928298883840960		
12	'54894052596648074018340323045315	'74319433727938918593167024587099	'89606184490241626973210531912072		
13	'77191012710460169282908364398839	'94940402058649628751614315750238	'73341099552168157247582417739834		
14	'12986325743001051245298844010073	'15189192913251545732933839563358	'16786121247407601411875890738404		
15	'49194706048762696607484361986088	'79708142416531233026294699906864			
16	'54471175542537123427423051934922	'02222684404284886668880002484602			
17	'85228005457570292615469487434422	'68826840808242420213802750556714			
18	'60080820624644682299824550392952	'52561250965614901032321018121850			
19	'74503876183412903238787674105072	'76566208240352295348686456182180			
20	'38122321681247641077093434790460				
21	'46424749289311834513479484290768				
22	'03244966858201468973092397770858				
23	'71745970171077907336111655345994				
24	'95740423451260241197421295738522				
25	'47668021075958232073421245036640				
26	'62880640460082642624686608064488				
27	'28484806864040286224686608064488				
28	'28484806864040286224686608064488				
29	'28484301869595236779631406632180				
30	'45008746498405882984094489420746	'45008746498405882984094489420746			
31	'49264140456049482984094489420746	'49264140456049482984094489420746			
32	'49264140456049482984094489420746	'49264140456049482984094489420746			
33	'49264645451594432439847007672462	'49264645451594432439847007672462			
34	'68604224866640642842820840288404	'68604224866640642842820840288404			
35	'24008282400240642842820840288404	'24008282400240642842820840288404	'24008282400240642842820840288404		
36	'24008282400240642842820840288404	'24008282400240642842820840288404	'24008282400240642842820840288404		
37	'24008787405795692195493042454148	'24008787405795692195493042454148	'24008787405795692195493042454148		
38	'69682142056405000128236603446702	'69682142056405000128236603446702	'69682142056405000128236603446702		
39	'63640786656405000128236603446702	'63640786656405000128236603446702	'63640786656405000128236603446702		
40	'63640786656405000128236603446702	'63640786656405000128236603446702	'63640786656405000128236603446702	'63640786656405000128236603446702	
41	'63640281651950858291483829630608	'63640281651950858291483829630608	'63640281651950858291483829630608	'63640281651950858291483829630608	
42	'42000882866868886084044866244648	'42000882866868886084044866244648	'42000882866868886084044866244648	'42000882866868886084044866244648	
43	'00644482866868886084044866244648	'00644482866868886084044866244648	'00644482866868886084044866244648	'00644482866868886084044866244648	
44	'00644482866868886084044866244648	'00644482866868886084044866244648	'00644482866868886084044866244648	'00644482866868886084044866244648	
45	'00644987861111454731215000690982	'00644987861111454731215000690982	'00644987861111454731215000690982	'00644987861111454731215000690982	00644987861111454731215000690982
46	'65240142274649242342252669680568	'65240142274649242342252669680568	'65240142274649242342252669680568	'65240142274649242342252669680568	'65240142274649242342252669680568
47	'09840142274649242342252669680568	'09840142274649242342252669680568	'09840142274649242342252669680568	'09840142274649242342252669680568	'09840142274649242342252669680568
48	'09840142274649242342252669680568	'09840142274649242342252669680568	'09840142274649242342252669680568	'09840142274649242342252669680568	'09840142274649242342252669680568
49	'09840647077712494013441065474664	'09840647077712494013441065474664	'09840647077712494013441065474664	'09840647077712494013441065474664	'09840647077712494013441065474664
